"","countH_Pseudo_Perm","countG","countG_Perm","countGlobalAncova","countN_Perm","countGSEA_Category"
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0",0.055,0.055,0.054,0.048,0.052,0.05
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.05",0.085,0.091,0.085,0.086,0.087,0.088
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.1",0.144,0.182,0.175,0.171,0.173,0.217
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.3",0.746,0.868,0.864,0.85,0.86,0.925
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.5",0.995,0.999,0.999,0.999,0.999,1
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.7",1,1,1,1,1,1
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:0.9",1,1,1,1,1,1
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:1",1,1,1,1,1,1
"composition:1 ,rho:0.1 ,probes:30,size:70,difference:2",1,1,1,1,1,1
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0",0.062,0.05,0.053,0.045,0.052,0.049
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.05",0.064,0.056,0.054,0.051,0.056,0.055
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.1",0.074,0.075,0.074,0.067,0.072,0.074
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.3",0.134,0.26,0.261,0.246,0.249,0.258
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.5",0.259,0.579,0.572,0.56,0.55,0.573
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.7",0.461,0.845,0.847,0.836,0.842,0.841
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:0.9",0.722,0.975,0.975,0.969,0.962,0.971
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:1",0.823,0.991,0.991,0.99,0.991,0.992
"composition:1 ,rho:0.9 ,probes:30,size:70,difference:2",1,1,1,1,1,1
